;Název děkanátu;Název farnosti;Rok;Osob celkem;Průměrný věk;Muž;Žena;Neuvedeno;
;Frýdek;Vendryně;2014;691;39,59;285;406;;
;Frýdek;Vendryně;2019;593;41,65;252;341;;
;Frýdek;Vendryně;2024;530;41,08;224;306;0;
78;Frýdek;Vratimov;1999;515;46,97;181;334;;
;Frýdek;Vratimov;2004;347;51,89;128;219;;
;Frýdek;Vratimov;2009;222;55,65;74;148;;
;Frýdek;Vratimov;2014;208;53,85;75;133;;
;Frýdek;Vratimov;2019;189;51,37;78;111;;
;Frýdek;Vratimov;2024;146;47,34;66;80;0;
79;Hlučín;Bohuslavice u Hlučína;1999;1129;41,40;429;700;;
;Hlučín;Bohuslavice u Hlučína;2004;991;45,01;366;625;;
;Hlučín;Bohuslavice u Hlučína;2009;948;45,61;357;591;;
;Hlučín;Bohuslavice u Hlučína;2014;825;46,72;307;518;;
;Hlučín;Bohuslavice u Hlučína;2019;643;50,63;251;392;;
;Hlučín;Bohuslavice u Hlučína;2024;523;52,04;198;323;2;
80;Hlučín;Bolatice;1999;1011;44,45;340;671;;
;Hlučín;Bolatice;2004;957;48,20;321;636;;
;Hlučín;Bolatice;2009;902;50,74;296;606;;
;Hlučín;Bolatice;2014;753;51,53;253;500;;
;Hlučín;Bolatice;2019;649;48,36;223;426;;
;Hlučín;Bolatice;2024;526;50,94;189;337;0;
81;Hlučín;Dolní Benešov;1999;845;43,06;316;529;;
;Hlučín;Dolní Benešov;2004;654;50,06;232;422;;
;Hlučín;Dolní Benešov;2009;674;53,22;239;435;;
;Hlučín;Dolní Benešov;2014;535;51,42;185;350;;
;Hlučín;Dolní Benešov;2019;424;54,82;153;271;;
;Hlučín;Dolní Benešov;2024;286;60,46;104;182;0;
82;Hlučín;Háj ve Slezsku;1999;173;46,53;53;120;;
;Hlučín;Háj ve Slezsku;2004;185;48,69;58;127;;
;Hlučín;Háj ve Slezsku;2009;193;58,80;49;144;;
;Hlučín;Háj ve Slezsku;2014;107;52,66;34;73;;
;Hlučín;Háj ve Slezsku;2019;73;62,63;17;56;;
;Hlučín;Háj ve Slezsku;2024;46;58,96;13;33;0;
83;Hlučín;Hať;1999;1315;39,66;507;808;;
;Hlučín;Hať;2004;1066;46,55;400;666;;
;Hlučín;Hať;2009;1070;45,52;400;670;;
;Hlučín;Hať;2014;868;46,38;322;546;;
;Hlučín;Hať;2019;849;45,35;322;527;;
;Hlučín;Hať;2024;635;47,87;253;381;1;
84;Hlučín;Hlučín;1999;1258;47,73;457;801;;
;Hlučín;Hlučín;2004;1616;49,73;534;1082;;
;Hlučín;Hlučín;2009;1648;47,31;580;1068;;
;Hlučín;Hlučín;2014;1036;49,55;358;678;;
;Hlučín;Hlučín;2019;634;52,32;231;403;;
;Hlučín;Hlučín;2024;565;51,34;230;332;3;
85;Hlučín;Hrabyně;1999;215;46,14;93;122;;
;Hlučín;Hrabyně;2004;221;52,69;93;128;;
;Hlučín;Hrabyně;2009;217;51,44;92;125;;
;Hlučín;Hrabyně;2014;199;55,31;88;111;;
;Hlučín;Hrabyně;2019;288;54,02;138;150;;
;Hlučín;Hrabyně;2024;85;56,22;33;52;0;
86;Hlučín;Chuchelná;1999;443;40,34;161;282;;
;Hlučín;Chuchelná;2004;310;48,27;116;194;;
;Hlučín;Chuchelná;2009;315;49,94;107;208;;
;Hlučín;Chuchelná;2014;265;48,57;105;160;;
;Hlučín;Chuchelná;2019;205;49,47;80;125;;
;Hlučín;Chuchelná;2024;163;47,26;62;101;0;
87;Hlučín;Kobeřice;1999;1170;40,00;469;701;;
;Hlučín;Kobeřice;2004;1208;45,43;506;702;;
;Hlučín;Kobeřice;2009;1081;44,98;458;623;;
;Hlučín;Kobeřice;2014;964;44,98;471;493;;
;Hlučín;Kobeřice;2019;921;48,08;389;532;;
;Hlučín;Kobeřice;2024;736;50,93;290;446;0;
88;Hlučín;Kozmice u Hlučína;1999;412;48,56;141;271;;
;Hlučín;Kozmice u Hlučína;2004;364;50,93;141;223;;
;Hlučín;Kozmice u Hlučína;2009;347;52,37;125;222;;
;Hlučín;Kozmice u Hlučína;2014;264;52,33;87;177;;
;Hlučín;Kozmice u Hlučína;2019;250;52,07;96;154;;
;Hlučín;Kozmice u Hlučína;2024;135;59,17;51;83;1;
89;Hlučín;Kravaře;1999;1665;44,51;599;1066;;
;Hlučín;Kravaře;2004;1210;50,03;380;830;;
;Hlučín;Kravaře;2009;1194;49,25;399;795;;
;Hlučín;Kravaře;2014;1137;49,20;407;730;;
;Hlučín;Kravaře;2019;1115;51,45;433;682;;
;Hlučín;Kravaře;2024;747;53,64;291;456;0;
90;Hlučín;Ludgeřovice;1999;1153;48,13;422;731;;
;Hlučín;Ludgeřovice;2004;869;52,47;302;567;;
;Hlučín;Ludgeřovice;2009;776;52,18;275;501;;
;Hlučín;Ludgeřovice;2014;656;50,55;234;422;;
;Hlučín;Ludgeřovice;2019;642;45,69;241;401;;
;Hlučín;Ludgeřovice;2024;487;45,62;192;295;0;
91;Hlučín;Mokré Lazce;1999;232;45,44;89;143;;
;Hlučín;Mokré Lazce;2004;172;54,20;63;109;;
;Hlučín;Mokré Lazce;2009;153;55,65;59;94;;
;Hlučín;Mokré Lazce;2014;53;50,08;32;21;;
;Hlučín;Mokré Lazce;2019;104;46,73;38;66;;
;Hlučín;Mokré Lazce;2024;85;47,84;35;50;0;
92;Hlučín;Píšť;1999;770;43,64;311;459;;
;Hlučín;Píšť;2004;659;49,06;248;411;;
;Hlučín;Píšť;2009;548;52,29;211;337;;
;Hlučín;Píšť;2014;386;57,21;142;244;;
;Hlučín;Píšť;2019;310;55,42;111;199;;
;Hlučín;Píšť;2024;239;56,30;89;150;0;
93;Hlučín;Pustá Polom;1999;396;48,36;139;257;;
;Hlučín;Pustá Polom;2004;367;52,04;137;230;;
;Hlučín;Pustá Polom;2009;330;52,00;115;215;;
;Hlučín;Pustá Polom;2014;357;45,33;137;220;;
;Hlučín;Pustá Polom;2019;284;45,94;104;180;;
;Hlučín;Pustá Polom;2024;261;44,80;108;153;0;
94;Hlučín;Strahovice;1999;466;40,69;198;268;;
;Hlučín;Strahovice;2004;369;43,59;163;206;;
;Hlučín;Strahovice;2009;333;44,53;138;195;;
;Hlučín;Strahovice;2014;375;43,91;165;210;;
;Hlučín;Strahovice;2019;286;47,75;123;163;;
;Hlučín;Strahovice;2024;226;50,50;88;138;0;
95;Hlučín;Sudice;1999;472;40,79;185;287;;
;Hlučín;Sudice;2004;370;44,66;145;225;;
;Hlučín;Sudice;2009;329;47,52;127;202;;
;Hlučín;Sudice;2014;324;48,53;128;196;;
;Hlučín;Sudice;2019;187;51,38;75;112;;
;Hlučín;Sudice;2024;113;51,50;36;77;0;
96;Hlučín;Šilheřovice;1999;437;44,53;144;293;;
;Hlučín;Šilheřovice;2004;451;48,36;171;280;;
;Hlučín;Šilheřovice;2009;395;50,44;138;257;;
;Hlučín;Šilheřovice;2014;294;50,94;101;193;;
;Hlučín;Šilheřovice;2019;259;49,80;108;151;;
;Hlučín;Šilheřovice;2024;205;50,09;82;122;1;
97;Hlučín;Štěpánkovice;1999;1175;41,35;447;728;;
;Hlučín;Štěpánkovice;2004;942;45,79;333;609;;
;Hlučín;Štěpánkovice;2009;835;47,59;266;569;;
;Hlučín;Štěpánkovice;2014;807;47,91;288;519;;
;Hlučín;Štěpánkovice;2019;623;48,54;213;410;;
;Hlučín;Štěpánkovice;2024;555;51,29;196;358;1;
98;Hlučín;Třebom;1999;28;42,43;8;20;;
;Hlučín;Třebom;2004;55;43,47;26;29;;
;Hlučín;Třebom;2009;42;35,86;20;22;;
;Hlučín;Třebom;2014;88;40,74;28;60;;
;Hlučín;Třebom;2019;63;43,00;29;34;;
;Hlučín;Třebom;2024;47;47,11;19;28;0;
99;Hlučín;Velká Polom;1999;218;46,88;73;145;;
;Hlučín;Velká Polom;2004;121;51,32;38;83;;
;Hlučín;Velká Polom;2009;231;51,69;78;153;;
;Hlučín;Velká Polom;2014;242;47,58;85;157;;
;Hlučín;Velká Polom;2019;205;44,48;136;69;;
;Hlučín;Velká Polom;2024;133;53,48;47;86;0;
100;Hlučín;Vřesina;1999;457;43,30;195;262;;
;Hlučín;Vřesina;2004;356;47,58;136;220;;
;Hlučín;Vřesina;2009;302;46,69;114;188;;
;Hlučín;Vřesina;2014;276;48,20;108;168;;
;Hlučín;Vřesina;2019;202;51,26;81;121;;
;Hlučín;Vřesina;2024;201;49,48;80;121;0;
101;Jeseník;Bernartice u Javorníka;1999;19;44,89;6;13;;
;Jeseník;Bernartice u Javorníka;2004;17;50,53;5;12;;
;Jeseník;Bernartice u Javorníka;2009;29;39,38;11;18;;
;Jeseník;Bernartice u Javorníka;2014;31;42,10;10;21;;
;Jeseník;Bernartice u Javorníka;2019;22;44,95;6;16;;
;Jeseník;Bernartice u Javorníka;2024;30;34,73;14;16;0;
102;Jeseník;Bílá Voda;1999;100;57,56;19;81;;
;Jeseník;Bílá Voda;2004;44;55,09;19;25;;
;Jeseník;Bílá Voda;2009;88;42,61;42;46;;
;Jeseník;Bílá Voda;2014;71;55,72;34;37;;
;Jeseník;Bílá Voda;2019;31;49,06;18;13;;
;Jeseník;Bílá Voda;2024;20;49,55;15;5;0;
103;Jeseník;Bílý Potok;1999;19;46,42;8;11;;
;Jeseník;Bílý Potok;2004;9;49,78;3;6;;
;Jeseník;Bílý Potok;2009;9;58,00;2;7;;
;Jeseník;Bílý Potok;2014;4;65,25;0;4;;
;Jeseník;Bílý Potok;2019;0;0,00;0;0;;
;Jeseník;Bílý Potok;2024;0;0,00;0;0;0;
104;Jeseník;Černá Voda;1999;36;50,28;10;26;;
;Jeseník;Černá Voda;2004;34;57,47;10;24;;
;Jeseník;Černá Voda;2009;29;62,76;7;22;;
;Jeseník;Černá Voda;2014;25;65,52;5;20;;
;Jeseník;Černá Voda;2019;8;72,50;5;3;;
;Jeseník;Černá Voda;2024;6;72,50;3;3;0;
105;Jeseník;Česká Ves;1999;62;37,82;26;36;;
;Jeseník;Česká Ves;2004;54;41,17;19;35;;
;Jeseník;Česká Ves;2009;83;40,69;33;50;;
;Jeseník;Česká Ves;2014;66;39,97;26;40;;
;Jeseník;Česká Ves;2019;93;36,24;36;57;;
;Jeseník;Česká Ves;2024;41;47,54;15;26;0;
106;Jeseník;Dolní Domašov;1999;45;40,29;17;28;;
;Jeseník;Dolní Domašov;2004;24;38,38;5;19;;
;Jeseník;Dolní Domašov;2009;35;38,57;8;27;;
;Jeseník;Dolní Domašov;2014;36;31,89;12;24;;
;Jeseník;Dolní Domašov;2019;32;39,23;13;19;;
;Jeseník;Dolní Domašov;2024;20;42,00;9;11;0;
107;Jeseník;Horní Domašov;1999;13;70,31;3;10;;
;Jeseník;Horní Domašov;2004;12;72,50;2;10;;
;Jeseník;Horní Domašov;2009;10;66,90;3;7;;
;Jeseník;Horní Domašov;2014;6;75,17;1;5;;
;Jeseník;Horní Domašov;2019;0;0,00;0;0;;
;Jeseník;Horní Domašov;2024;0;0,00;0;0;0;
108;Jeseník;Javorník ve Slezsku;1999;95;47,27;35;60;;
;Jeseník;Javorník ve Slezsku;2004;149;47,37;57;92;;
;Jeseník;Javorník ve Slezsku;2009;161;51,47;74;87;;
;Jeseník;Javorník ve Slezsku;2014;97;53,46;33;64;;
;Jeseník;Javorník ve Slezsku;2019;93;57,32;38;55;;
;Jeseník;Javorník ve Slezsku;2024;79;60,06;37;42;0;
109;Jeseník;Jeseník;1999;231;43,97;87;144;;
;Jeseník;Jeseník;2004;162;47,98;63;99;;
;Jeseník;Jeseník;2009;185;47,56;58;127;;
;Jeseník;Jeseník;2014;181;49,06;61;120;;
;Jeseník;Jeseník;2019;190;52,22;77;113;;
;Jeseník;Jeseník;2024;196;41,29;81;115;0;
110;Jeseník;Kobylá nad Vidnavkou;1999;25;45,60;9;16;;
;Jeseník;Kobylá nad Vidnavkou;2004;19;43,79;4;15;;
;Jeseník;Kobylá nad Vidnavkou;2009;42;70,10;7;35;;
;Jeseník;Kobylá nad Vidnavkou;2014;43;68,23;7;36;;
;Jeseník;Kobylá nad Vidnavkou;2019;22;57,14;3;19;;
;Jeseník;Kobylá nad Vidnavkou;2024;15;65,87;3;12;0;
111;Jeseník;Lipová-lázně;1999;79;46,87;36;43;;
;Jeseník;Lipová-lázně;2004;63;57,06;16;47;;
;Jeseník;Lipová-lázně;2009;52;59,23;21;31;;
;Jeseník;Lipová-lázně;2014;57;50,33;16;41;;
;Jeseník;Lipová-lázně;2019;55;52,95;21;34;;
;Jeseník;Lipová-lázně;2024;33;60,58;15;18;0;
112;Jeseník;Mikulovice;1999;68;45,97;32;36;;
;Jeseník;Mikulovice;2004;90;45,49;35;55;;
;Jeseník;Mikulovice;2009;83;46,77;34;49;;
;Jeseník;Mikulovice;2014;76;43,57;30;46;;
;Jeseník;Mikulovice;2019;67;34,07;25;42;;
;Jeseník;Mikulovice;2024;32;52,22;16;16;0;
113;Jeseník;Písečná;1999;49;33,29;20;29;;
;Jeseník;Písečná;2004;18;45,22;7;11;;
;Jeseník;Písečná;2009;25;45,40;10;15;;
;Jeseník;Písečná;2014;29;40,62;12;17;;
;Jeseník;Písečná;2019;42;32,38;18;24;;
;Jeseník;Písečná;2024;28;38,71;11;17;0;
114;Jeseník;Skorošice;1999;37;40,49;15;22;;
;Jeseník;Skorošice;2004;44;47,70;15;29;;
;Jeseník;Skorošice;2009;34;43,74;14;20;;
;Jeseník;Skorošice;2014;43;41,47;14;29;;
;Jeseník;Skorošice;2019;31;47,45;12;19;;
;Jeseník;Skorošice;2024;30;45,27;13;17;0;
115;Jeseník;Stará Červená Voda;1999;9;63,00;2;7;;
;Jeseník;Stará Červená Voda;2004;7;68,57;1;6;;
;Jeseník;Stará Červená Voda;2009;8;71,13;1;7;;
;Jeseník;Stará Červená Voda;2014;8;58,50;3;5;;
;Jeseník;Stará Červená Voda;2019;23;46,26;6;17;;
;Jeseník;Stará Červená Voda;2024;9;57,22;2;7;0;
116;Jeseník;Supíkovice;1999;27;53,30;5;22;;
;Jeseník;Supíkovice;2004;18;55,11;5;13;;
;Jeseník;Supíkovice;2009;16;64,25;4;12;;
;Jeseník;Supíkovice;2014;16;71,56;5;11;;
;Jeseník;Supíkovice;2019;21;52,38;6;15;;
;Jeseník;Supíkovice;2024;23;38,17;13;10;0;
117;Jeseník;Široký Brod;1999;13;62,23;4;9;;
;Jeseník;Široký Brod;2004;10;56,60;3;7;;
;Jeseník;Široký Brod;2009;12;51,83;3;9;;
;Jeseník;Široký Brod;2014;20;42,95;11;9;;
;Jeseník;Široký Brod;2019;8;65,88;4;4;;
;Jeseník;Široký Brod;2024;3;63,00;2;1;0;
118;Jeseník;Travná;1999;;;;;;
;Jeseník;Travná;2004;;;;;;
;Jeseník;Travná;2009;;;;;;
;Jeseník;Travná;2014;;;;;;
;Jeseník;Travná;2019;23;45,57;11;12;;
;Jeseník;Travná;2024;0;0,00;0;0;0;
119;Jeseník;Uhelná;1999;28;47,68;8;20;;
;Jeseník;Uhelná;2004;57;50,12;18;39;;
;Jeseník;Uhelná;2009;54;51,85;21;33;;
;Jeseník;Uhelná;2014;25;58,36;5;20;;
;Jeseník;Uhelná;2019;16;55,06;3;13;;
;Jeseník;Uhelná;2024;17;62,65;5;12;0;
120;Jeseník;Vápenná;1999;26;58,35;2;24;;
;Jeseník;Vápenná;2004;31;53,77;6;25;;
;Jeseník;Vápenná;2009;21;55,38;5;16;;
;Jeseník;Vápenná;2014;21;50,14;5;16;;
;Jeseník;Vápenná;2019;7;69,00;1;6;;
;Jeseník;Vápenná;2024;8;59,63;4;4;0;
121;Jeseník;Velké Kunětice;1999;10;49,90;2;8;;
;Jeseník;Velké Kunětice;2004;9;71,22;1;8;;
;Jeseník;Velké Kunětice;2009;11;72,91;1;10;;
;Jeseník;Velké Kunětice;2014;11;67,27;2;9;;
;Jeseník;Velké Kunětice;2019;14;48,21;4;10;;
;Jeseník;Velké Kunětice;2024;10;56,80;1;9;0;
122;Jeseník;Vidnava;1999;48;53,35;15;33;;
;Jeseník;Vidnava;2004;46;53,09;18;28;;
;Jeseník;Vidnava;2009;59;63,58;15;44;;
;Jeseník;Vidnava;2014;49;69,57;14;35;;
;Jeseník;Vidnava;2019;40;69,75;7;33;;
;Jeseník;Vidnava;2024;15;62,33;3;12;0;
123;Jeseník;Vlčice;1999;36;40,08;13;23;;
;Jeseník;Vlčice;2004;29;44,38;9;20;;
;Jeseník;Vlčice;2009;25;41,56;11;14;;
;Jeseník;Vlčice;2014;30;42,53;15;15;;
;Jeseník;Vlčice;2019;24;46,58;9;15;;
;Jeseník;Vlčice;2024;25;41,20;16;9;0;
124;Jeseník;Zálesí;1999;;;;;;
;Jeseník;Zálesí;2004;;;;;;
;Jeseník;Zálesí;2009;;;;;;
;Jeseník;Zálesí;2014;;;;;;
;Jeseník;Zálesí;2019;0;0,00;0;0;;
;Jeseník;Zálesí;2024;0;0,00;0;0;0;
125;Jeseník;Žulová;1999;15;63,47;4;11;;
;Jeseník;Žulová;2004;21;49,90;6;15;;
;Jeseník;Žulová;2009;31;66,35;8;23;;
;Jeseník;Žulová;2014;37;51,27;15;22;;
;Jeseník;Žulová;2019;10;66,30;3;7;;
;Jeseník;Žulová;2024;0;0,00;0;0;0;
126;Jeseník;Ondřejovice;1999;;;;;;
;Jeseník;Ondřejovice;2004;23;59,13;5;18;;
;Jeseník;Ondřejovice;2009;14;55,86;2;12;;
;Jeseník;Ondřejovice;2014;6;53,50;0;6;;
;Jeseník;Ondřejovice;2019;5;69,60;0;5;;
;Jeseník;Ondřejovice;2024;3;63,33;0;3;0;
127;Jeseník;Zlaté Hory;1999;99;46,45;;;;
;Jeseník;Zlaté Hory;2004;110;49,59;38;72;;
;Jeseník;Zlaté Hory;2009;76;49,04;25;51;;
;Jeseník;Zlaté Hory;2014;72;46,68;27;45;;
;Jeseník;Zlaté Hory;2019;38;56,92;14;24;;
;Jeseník;Zlaté Hory;2024;45;52,89;22;22;1;
128;Jeseník;Maria Hilf;1999;;;;;;
;Jeseník;Maria Hilf;2004;41;39,80;;;;
;Jeseník;Maria Hilf;2009;46;46,59;18;28;;
;Jeseník;Maria Hilf;2014;123;32,26;60;63;;
;Jeseník;Maria Hilf;2019;81;48,04;41;40;;
;Jeseník;Maria Hilf;2024;26;35,42;14;12;0;
129;Karviná;Albrechtice u Č.Těšína;1999;337;47,24;128;209;;
;Karviná;Albrechtice u Č.Těšína;2004;324;46,85;122;202;;
;Karviná;Albrechtice u Č.Těšína;2009;279;50,54;105;174;;
;Karviná;Albrechtice u Č.Těšína;2014;259;47,58;97;162;;
;Karviná;Albrechtice u Č.Těšína;2019;219;50,47;80;139;;
;Karviná;Albrechtice u Č.Těšína;2024;183;50,54;67;116;0;
130;Karviná;Bohumín-Nový Bohumín;1999;660;52,83;188;472;;
;Karviná;Bohumín-Nový Bohumín;2004;493;55,43;136;357;;
;Karviná;Bohumín-Nový Bohumín;2009;502;57,01;171;331;;
;Karviná;Bohumín-Nový Bohumín;2014;353;55,80;114;239;;
;Karviná;Bohumín-Nový Bohumín;2019;228;56,48;77;151;;
;Karviná;Bohumín-Nový Bohumín;2024;164;50,40;62;102;0;
131;Karviná;Bohumín-Starý Bohumín;1999;163;53,88;48;115;;
;Karviná;Bohumín-Starý Bohumín;2004;163;52,10;44;119;;
;Karviná;Bohumín-Starý Bohumín;2009;210;51,30;63;147;;
;Karviná;Bohumín-Starý Bohumín;2014;222;53,45;70;152;;
;Karviná;Bohumín-Starý Bohumín;2019;207;51,68;81;126;;
;Karviná;Bohumín-Starý Bohumín;2024;153;58,97;59;94;0;
132;Karviná;Český Těšín;1999;2228;43,00;852;1376;;
;Karviná;Český Těšín;2004;1920;42,74;769;1151;;
;Karviná;Český Těšín;2009;1684;43,40;649;1035;;
;Karviná;Český Těšín;2014;1378;42,64;564;814;;
;Karviná;Český Těšín;2019;1360;44,90;553;807;;
;Karviná;Český Těšín;2024;1043;45,61;453;588;2;
133;Karviná;Dětmarovice;1999;104;55,10;27;77;;
;Karviná;Dětmarovice;2004;96;54,50;26;70;;
;Karviná;Dětmarovice;2009;107;54,40;36;71;;
;Karviná;Dětmarovice;2014;64;60,72;17;47;;
;Karviná;Dětmarovice;2019;91;45,26;27;64;;
;Karviná;Dětmarovice;2024;41;65,88;14;27;0;
134;Karviná;Dolní Lutyně;1999;451;50,82;126;325;;
;Karviná;Dolní Lutyně;2004;449;52,56;144;305;;
;Karviná;Dolní Lutyně;2009;355;55,22;102;253;;
;Karviná;Dolní Lutyně;2014;398;54,65;131;267;;
;Karviná;Dolní Lutyně;2019;322;53,85;107;215;;
;Karviná;Dolní Lutyně;2024;283;51,84;97;186;0;
135;Karviná;Doubrava;1999;85;50,34;29;56;;
;Karviná;Doubrava;2004;52;56,12;17;35;;
;Karviná;Doubrava;2009;56;55,34;22;34;;
;Karviná;Doubrava;2014;36;56,14;13;23;;
;Karviná;Doubrava;2019;29;64,79;13;16;;
;Karviná;Doubrava;2024;22;60,32;9;13;0;
136;Karviná;Havířov - sv. Anna;1999;1191;48,54;389;802;;
;Karviná;Havířov - sv. Anna;2004;985;51,75;321;664;;
;Karviná;Havířov - sv. Anna;2009;822;52,59;265;557;;
;Karviná;Havířov - sv. Anna;2014;585;53,35;193;392;;
;Karviná;Havířov - sv. Anna;2019;603;51,14;210;393;;
;Karviná;Havířov - sv. Anna;2024;436;50,03;168;268;0;
137;Karviná;Havířov - sv. Markéta;1999;225;44,17;85;140;;
;Karviná;Havířov - sv. Markéta;2004;193;48,55;76;117;;
;Karviná;Havířov - sv. Markéta;2009;187;48,49;84;103;;
;Karviná;Havířov - sv. Markéta;2014;146;52,00;61;85;;
;Karviná;Havířov - sv. Markéta;2019;100;54,64;38;62;;
;Karviná;Havířov - sv. Markéta;2024;77;51,48;36;41;0;
138;Karviná;Havířov - Prostřední Suchá;1999;77;47,88;29;48;;
;Karviná;Havířov - Prostřední Suchá;2004;71;49,58;32;39;;
;Karviná;Havířov - Prostřední Suchá;2009;90;48,23;42;48;;
;Karviná;Havířov - Prostřední Suchá;2014;75;48,77;31;44;;
;Karviná;Havířov - Prostřední Suchá;2019;58;59,81;24;34;;
;Karviná;Havířov - Prostřední Suchá;2024;38;55,45;18;20;0;
139;Karviná;Horní Suchá;1999;225;47,92;75;150;;
;Karviná;Horní Suchá;2004;223;46,75;79;144;;
;Karviná;Horní Suchá;2009;179;49,36;60;119;;
;Karviná;Horní Suchá;2014;172;47,39;52;120;;
;Karviná;Horní Suchá;2019;125;49,88;48;77;;
;Karviná;Horní Suchá;2024;102;50,29;36;66;0;
140;Karviná;Karviná;1999;2815;47,34;998;1817;;
;Karviná;Karviná;2004;2064;50,18;740;1324;;
;Karviná;Karviná;2009;1680;53,31;590;1090;;
;Karviná;Karviná;2014;1218;56,14;409;809;;
;Karviná;Karviná;2019;1109;55,68;394;715;;
;Karviná;Karviná;2024;713;52,31;278;435;0;
141;Karviná;Karviná-Doly;1999;84;40,81;37;47;;
;Karviná;Karviná-Doly;2004;53;50,19;23;30;;
;Karviná;Karviná-Doly;2009;74;45,77;26;48;;
;Karviná;Karviná-Doly;2014;39;53,82;20;19;;
;Karviná;Karviná-Doly;2019;46;52,46;24;22;;
;Karviná;Karviná-Doly;2024;46;57,63;19;27;0;
142;Karviná;Louky nad Olší;1999;71;48,75;23;48;;
;Karviná;Louky nad Olší;2004;80;51,89;35;45;;
;Karviná;Louky nad Olší;2009;65;48,52;26;39;;
;Karviná;Louky nad Olší;2014;54;50,46;22;32;;
;Karviná;Louky nad Olší;2019;55;52,38;23;32;;
;Karviná;Louky nad Olší;2024;41;61,22;21;20;0;
143;Karviná;Orlová;1999;319;46,02;116;203;;
;Karviná;Orlová;2004;304;42,36;118;186;;
;Karviná;Orlová;2009;265;47,57;108;157;;
;Karviná;Orlová;2014;175;57,18;67;108;;
;Karviná;Orlová;2019;150;57,33;55;95;;
;Karviná;Orlová;2024;78;52,69;27;51;0;
144;Karviná;Petrovice u Karviné;1999;426;45,63;179;247;;
;Karviná;Petrovice u Karviné;2004;435;47,60;173;262;;
;Karviná;Petrovice u Karviné;2009;388;50,82;151;237;;
;Karviná;Petrovice u Karviné;2014;232;49,79;81;151;;
;Karviná;Petrovice u Karviné;2019;236;55,34;96;140;;
;Karviná;Petrovice u Karviné;2024;139;54,18;51;88;0;
145;Karviná;Petřvald u Karviné;1999;99;53,36;32;67;;
;Karviná;Petřvald u Karviné;2004;86;60,13;25;61;;
;Karviná;Petřvald u Karviné;2009;65;57,35;21;44;;
;Karviná;Petřvald u Karviné;2014;80;49,04;30;50;;
;Karviná;Petřvald u Karviné;2019;81;50,77;25;56;;
;Karviná;Petřvald u Karviné;2024;40;56,50;12;26;2;
146;Karviná;Rychvald u Karviné;1999;128;52,03;38;90;;
;Karviná;Rychvald u Karviné;2004;139;51,44;42;97;;
;Karviná;Rychvald u Karviné;2009;99;52,54;31;68;;
;Karviná;Rychvald u Karviné;2014;104;55,59;38;66;;
;Karviná;Rychvald u Karviné;2019;109;49,22;40;69;;
;Karviná;Rychvald u Karviné;2024;75;51,68;28;47;0;
147;Karviná;Stonava;1999;180;48,01;76;104;;
;Karviná;Stonava;2004;171;50,71;75;96;;
;Karviná;Stonava;2009;122;50,37;48;74;;
;Karviná;Stonava;2014;86;48,93;36;50;;
;Karviná;Stonava;2019;75;49,39;28;47;;
;Karviná;Stonava;2024;75;58,09;33;42;0;
148;Karviná;Těrlicko;1999;234;41,45;89;145;;
;Karviná;Těrlicko;2004;205;39,04;88;117;;
;Karviná;Těrlicko;2009;270;43,29;114;156;;
;Karviná;Těrlicko;2014;257;45,00;100;157;;
;Karviná;Těrlicko;2019;203;48,18;94;109;;
;Karviná;Těrlicko;2024;135;53,56;59;76;0;
149;Karviná;Havířov-Šumbark;1999;;;;;;
;Karviná;Havířov-Šumbark;2004;195;43,75;72;123;;
;Karviná;Havířov-Šumbark;2009;247;46,97;91;156;;
;Karviná;Havířov-Šumbark;2014;211;47,29;74;137;;
;Karviná;Havířov-Šumbark;2019;142;53,53;57;85;;
;Karviná;Havířov-Šumbark;2024;101;50,22;49;52;0;
150;Krnov;Bohušov;1999;35;52,09;10;25;;
;Krnov;Bohušov;2004;43;49,23;16;27;;
;Krnov;Bohušov;2009;25;52,60;7;18;;
;Krnov;Bohušov;2014;25;49,88;7;18;;
;Krnov;Bohušov;2019;20;49,95;6;14;;
;Krnov;Bohušov;2024;16;69,19;6;10;0;
151;Krnov;Brantice;1999;19;46,89;4;15;;
;Krnov;Brantice;2004;14;53,29;0;14;;
;Krnov;Brantice;2009;10;65,20;1;9;;
;Krnov;Brantice;2014;10;66,30;2;8;;
;Krnov;Brantice;2019;7;60,86;3;4;;
;Krnov;Brantice;2024;0;0,00;0;0;0;
152;Krnov;Býkov;1999;;;;;;
;Krnov;Býkov;2004;;;;;;
;Krnov;Býkov;2009;;;;;;
;Krnov;Býkov;2014;;;;;;
;Krnov;Býkov;2019;2;37,50;0;2;;
;Krnov;Býkov;2024;0;0,00;0;0;0;
153;Krnov;Heřmanovice;1999;7;38,71;4;3;;
;Krnov;Heřmanovice;2004;;;;;;
;Krnov;Heřmanovice;2009;;;;;;
;Krnov;Heřmanovice;2014;13;60,46;3;10;;
;Krnov;Heřmanovice;2019;17;54,47;8;9;;
;Krnov;Heřmanovice;2024;12;53,83;1;11;0;
154;Krnov;Holčovice;1999;14;61,86;5;9;;
;Krnov;Holčovice;2004;20;38,95;6;14;;
;Krnov;Holčovice;2009;10;67,10;5;5;;
;Krnov;Holčovice;2014;24;41,71;14;10;;
;Krnov;Holčovice;2019;23;57,96;10;13;;
;Krnov;Holčovice;2024;7;68,71;3;4;0;
